一 a
囤 jdhz
回 jdj
圆 jdjl
团 jdm
啪 jdn
啪 jdnk
囚 jdod
图 jdrt
啦 jdsu
圈 jduy
恩 jdw
恩 jdwz
叶 jed
喷 jee
喷 jeel
嘲 jeeq
喏 jeg
喏 jegj
固 jej
咕 jej
嗔 jelo
哄 jeo
哎 jeos
嘶 jep
嘶 jepd
唠 jewy
吱 jex
吱 jexs
哺 jfb
哂 jfj
喇 jfjk
嗽 jfjr
喳 jfka
呆 jfv
呆 jfvv
呸 jga
跨 jgb
啄 jgs
吠 jgs
跋 jgx
咦 jgy
呃 jgyy
咦 jgyz
噘 jgzr
吨 jh
喊 jha
喊 jhaj
嘁 jhak
跷 jhg
呀 jhi
践 jhm
呕 jho
呕 jhos
距 jhx
囤 jhz
吨 jhzi
足 ji
贵 jia
贵 jial
跨 jibz
踞 jiej
踱 jiex
蹲 jifd
跪 jigy
唬 jih
跷 jihg
践 jihm
距 jihx
趾 jii
趾 jiii
踮 jiij
躁 jijf
鹭 jijr
蹬 jiju
嘘 jik
踵 jikb
踝 jikf
踏 jikk
嘘 jiku
蹼 jiku
嘴 jil
踹 jilg
盅 jilk
蹭 jilk
跃 jimg
跌 jimo
趿 jims
趴 jio
啮 jio
跤 jioo
踩 jipf
蹈 jipn
啃 jiq
跺 jiqf
蹦 jiqq
跑 jir
路 jirj
嘴 jirl
踢 jiro
踼 jiro
跑 jiry
踱 jit
蹲 jiu
虽 jiv
跳 jivr
中 jivv
虽 jivv
忠 jiw
踪 jiwb
蹄 jiwl
忠 jiwz
跛 jixi
跟 jixo
跋 jixs
跩 jizm
颚 jjb
咽 jjd
器 jjg
哭 jjgs
串 jji
患 jjiw
品 jjj
噪 jjjf
嚣 jjjj
器 jjjj
圆 jjl
咒 jjq
咒 jjqd
吕 jjvv
患 jjw
嗯 jjwz
骂 jjx
颚 jjzg
别 jk
哩 jkb
踝 jkf
喂 jkh
呷 jki
呷 jkib
唱 jkk
吵 jkm
喟 jkq
哨 jkq
喝 jkr
喝 jkry
蹼 jku
噗 jkuc
员 jl
嗣 jlaj
嘿 jlbu
喘 jlgl
吊 jli
呗 jlo
员 jlo
呐 jlod
剐 jlok
蹦 jlq
勋 jlym
吃 jm
唾 jmeb
跃 jmg
哦 jmh
哦 jmhm
咋 jmi
咋 jmid
踵 jmk
唎 jmkd
噬 jmoo
呼 jmu
呼 jmua
哦 jmv
吃 jmy
吃 jmyd
咻 jnf
嗅 jng
嗅 jngs
唯 jni
响 jnj
咱 jnl
哗 jnr
哗 jnre
噢 jnug
喉 jnx
喉 jnxm
嗖 jnxs
只 jo
哈 joa
哈 joaj
囚 jod
唏 jogl
噙 jolz
啥 jom
啥 jomi
嗲 joo
喻 joqk
嗲 jorr
史 jos
吟 josx
叭 jov
只 jovv
叭 jovv
呛 joy
呛 joyy
嗡 joyy
嗡 joz
听 jp
听 jpd
踩 jpf
嗳 jpgx
嚼 jpl
蹈 jpn
呱 jps
嗳 jpw
嚼 jpxd
跺 jq
叽 jqd
路 jr
兄 jrd
跪 jrg
喒 jrik
咯 jrj
噜 jrk
唤 jrl
唤 jrlg
吹 jro
吻 jrod
叱 jrr
哔 jrre
图 jrt
咚 jrtd
跑 jry
鸣 jrz
呜 jrza
嚷 jser
嚷 jsj
哼 jsjy
咏 jsk
噫 jskw
啐 jsoe
咬 jsoo
吭 jsq
吭 jsqd
蹄 jsu
唁 jsv
唁 jsvv
嚎 jswg
啼 jswl
咳 jsz
咳 jszo
唷 jszq
踱 jte
嘛 jtf
嘛 jtff
踮 jti
嗟 jubi
蹭 jul
圈 juy
喽 juz
喽 juzm
跳 jv
嗨 jvm
嗨 jvmz
跳 jvr
踪 jwb
喧 jwbk
嗐 jwcj
喀 jwr
喀 jwrj
吗 jx
蹬 jxa
噉 jxcm
踞 jxe
喔 jxh
喔 jxhb
跛 jxi
嘱 jxil
嘱 jxm
啸 jxn
啸 jxno
跟 jxo
呢 jxr
呢 jxrr
叹 jxs
